measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Republic of Korea,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Kazakhstan,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Georgia,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Timor-Leste,Both,All ages,Conflict and terrorism,Rate,1980,173.21988551442226,190.485559515489,157.52616546294735
Deaths,Canada,Both,All ages,Conflict and terrorism,Rate,1980,0.03677665372120614,0.04044236284065706,0.03344468922869649
Deaths,Singapore,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Romania,Both,All ages,Conflict and terrorism,Rate,1980,0.6547775053623035,0.7200423848375643,0.5954546693343147
Deaths,Viet Nam,Both,All ages,Conflict and terrorism,Rate,1980,0.018478904306824757,0.02032078716404431,0.016804715744766427
Deaths,Pakistan,Both,All ages,Conflict and terrorism,Rate,1980,0.019455124265254174,0.02139431174489349,0.01769249018384479
Deaths,Luxembourg,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Israel,Both,All ages,Conflict and terrorism,Rate,1980,0.7742181590081413,0.8513882731635829,0.7040740008466323
Deaths,Serbia,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Poland,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Turkmenistan,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Slovakia,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,China,Both,All ages,Conflict and terrorism,Rate,1980,0.02015272284385051,0.02216144338896834,0.018326886337567776
Deaths,Suriname,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Democratic People's Republic of Korea,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Mauritius,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Venezuela (Bolivarian Republic of),Both,All ages,Conflict and terrorism,Rate,1980,0.08206372046914694,0.0902434132378332,0.07462874814134203
Deaths,Mongolia,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Ireland,Both,All ages,Conflict and terrorism,Rate,1980,0.08594119183041206,0.09450737115214747,0.07815492063255756
Deaths,Fiji,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Qatar,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Slovenia,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
Deaths,Greenland,Both,All ages,Conflict and terrorism,Rate,1980,0.0,0.0,0.0
